chr start
chr9 81767416
chr9 16337974
chr9 73509709
chr9 11862748
chr9 35239608
chr9 18407869
chr9 56553999
chr9 58633785
chr9 112719264
chr9 125132864
chr9 25386879
chr9 77392501
chr9 90711392
chr9 449459
chr9 844602
chr9 2190594
chr9 51045403
chr9 107320646
chr9 51129648
chr9 130027172
chr9 34188850
chr9 34995430
chr9 113480651
chr9 130362553
chr9 95826796
chr9 11682075
chr9 30916310
chr9 66555851
chr9 60960157
chr9 65686413
chr9 20984464
chr9 51061490
chr9 133823363
chr9 113454370
chr9 58253721
chr9 41519763
chr9 103218095
chr9 128867563
chr9 58999622
chr9 121018709
chr9 609635
chr9 24293212
chr9 64673182
chr9 58533993
chr9 134072691
chr9 68128637
chr9 112252478
chr9 91737844
chr9 31779001
chr9 55452285
chr9 105280197
chr9 65568631
chr9 14122919
chr10 105862221
chr10 8520781
chr10 127640086
chr10 28673648
chr10 28557676
chr10 30411202
chr10 98047235
chr10 101255323
chr10 3100927
chr10 8614178
chr10 10030599
chr10 28240501
chr10 113044430
chr10 52278060
chr10 2151725
chr10 6898880
chr10 6750915
chr10 113689841
chr10 29855501
chr10 116765125
chr10 3897454
chr10 85031136
chr10 95607935
chr10 82987266
chr10 32714132
chr10 123878071
chr10 123431049
chr10 5651796
chr10 104506702
chr10 32886274
chr10 93849914
chr10 54389910
chr10 83608217
chr10 56414361
chr10 48019168
chr10 33617090
chr10 44556808
chr10 78890240
chr10 132812993
chr10 84149329
chr10 7690128
chr10 127682720
chr10 121638232
chr10 4369530
chr10 94104237
chr10 19571163
chr10 76820244
chr10 129279566
chr10 123314582
chr10 56630927
chr10 102503600
chr10 100103727
chr10 63173480
chr10 27647060
chr10 50053336
chr10 96739200
chr11 12926389
chr11 130869805
chr11 83140850
chr11 5806068
chr11 52754981
chr11 14337153
chr11 43676437
chr11 116841690
chr11 84693162
chr11 76342880
chr11 47118154
chr11 4010864
chr11 115283197
chr11 56093566
chr11 64218356
chr11 43784608
chr11 89569841
chr11 120052241
chr11 85609685
chr11 53195190
chr11 84663922
chr11 9739307
chr11 20443870
chr11 107794055
chr11 13124904
chr11 36546599
chr11 68556184
chr11 96105737
chr11 76907811
chr11 113186473
chr11 77360746
chr11 60431471
chr11 12224125
chr11 14899474
chr11 42618549
chr11 36813879
chr11 72046844
chr11 60957786
chr11 1062309
chr11 48160921
chr11 61648947
chr11 80251390
chr11 60146474
chr11 9353495
chr11 82547155
chr11 41787279
chr11 103846329
chr11 25602109
chr11 106842872
chr11 66783605
chr11 54078680
chr11 105296863
chr11 12053371
chr11 114514152
chr11 120840542
chr11 60277388
chr11 89613104
chr11 80736734
chr11 89378397
chr11 124923201
chr11 38843360
chr11 105828318
chr11 133973825
chr11 105818032
chr11 59111971
chr11 50138495
chr11 38976953
chr11 86441017
chr12 28761557
chr12 48660742
chr12 103624493
chr12 54286347
chr12 90782424
chr12 48060620
chr12 35789112
chr12 54740197
chr12 108910144
chr12 88513474
chr12 101586548
chr12 80145039
chr12 95213722
chr12 61317196
chr12 45307168
chr12 90031004
chr12 117249356
chr12 41348331
chr12 63301962
chr12 97954614
chr12 33933234
chr12 61406093
chr12 54293123
chr12 107036755
chr12 50635301
chr12 118074247
chr12 60384448
chr12 17786226
chr12 73722712
chr12 58249060
chr12 68731686
chr12 6403599
chr12 82682923
chr12 37091455
chr12 38196855
chr12 54496676
chr12 80037075
chr12 112591226
chr12 8798707
chr12 65926161
chr12 38782905
chr12 59599109
chr12 22232167
chr12 98529309
chr12 72504720
chr12 20360157
chr12 1156027
chr12 72753939
chr12 67327123
chr12 47186282
chr12 82910186
chr12 115326980
chr12 121726382
chr12 33721452
chr12 43692853
chr12 25320229
chr12 82379804
chr12 2010746
chr12 8663963
chr12 72520408
chr12 101762120
chr12 83727048
chr12 112325941
chr12 53030043
chr12 96638379
chr12 123144988
chr12 63676601
chr12 132575092
chr12 11270969
chr12 9071825
chr12 102203036
chr12 5305691
chr12 61510373
chr12 64960892
chr13 73064483
chr13 30547417
chr13 70329372
chr13 111123418
chr13 9062369
chr13 83767177
chr13 110962242
chr13 32461383
chr13 96678385
chr13 43262547
chr13 40910486
chr13 46914945
chr13 30970276
chr13 43964090
chr13 100043985
chr13 3357757
chr13 46117387
chr13 63550308
chr13 111716048
chr13 107183543
chr13 23963144
chr13 93620671
chr13 17700298
chr13 84451584
chr13 106575396
chr13 22845741
chr13 19846712
chr13 38911798
chr13 16987401
chr13 39754310
chr13 34048235
chr13 58812756
chr13 85411774
chr13 333389
chr13 15851688
chr13 89099121
chr13 12608168
chr13 3541357
chr13 88258291
chr13 36492327
chr13 63976365
chr13 4424188
chr13 48080127
chr13 62008387
chr13 95307483
chr13 108095298
chr13 66955287
chr13 18652666
chr13 84258959
chr13 63734332
chr13 86641894
chr13 102622163
chr13 19068602
chr13 100116030
chr13 47145429
chr13 20883795
chr14 72345769
chr14 18467306
chr14 64342424
chr14 92467367
chr14 73154671
chr14 69384206
chr14 17653468
chr14 54044388
chr14 72444079
chr14 96341128
chr14 53595622
chr14 86193577
chr14 97332369
chr14 93004964
chr14 17656818
chr14 39828350
chr14 100330908
chr14 44568287
chr14 19681543
chr14 25643911
chr14 48217542
chr14 32139783
chr14 7395772
chr14 104940851
chr14 54120027
chr14 21634575
chr14 86619258
chr14 37928047
chr14 72389508
chr14 34146301
chr14 82810958
chr14 13506261
chr14 41363109
chr14 49712220
chr14 15496132
chr14 15220137
chr14 77143384
chr14 22365143
chr14 17312215
chr14 16123086
chr14 20167040
chr14 103101805
chr14 45575402
chr14 26490506
chr14 35791436
chr14 48129470
chr14 17544134
chr14 18432148
chr14 39071683
chr14 25929825
chr14 54001109
chr14 83892194
chr14 106789587
chr14 77228155
chr14 74714707
chr14 58389488
chr14 29233948
chr14 63575955
chr14 19375847
chr14 64647205
chr14 25346904
chr14 74851825
chr14 13790196
chr14 24194759
chr15 86236758
chr15 56398414
chr15 40483614
chr15 56464965
chr15 29772795
chr15 32159535
chr15 82892889
chr15 25282025
chr15 73283386
chr15 89389723
chr15 78272294
chr15 53266198
chr15 95900797
chr15 11288536
chr15 8730806
chr15 7562196
chr15 92047583
chr15 74708792
chr15 81785577
chr15 2110330
chr15 64783083
chr15 61482983
chr15 79843735
chr15 50358389
chr15 38261197
chr15 81382028
chr15 7392291
chr15 91711193
chr15 71696487
chr15 3004501
chr15 7781498
chr15 15389504
chr15 59751763
chr15 7145494
chr15 92137499
chr15 40021909
chr15 88587781
chr15 62734581
chr15 90540049
chr15 63223407
chr15 29196511
chr15 86790021
chr15 18582157
chr15 26001855
chr15 83808444
chr15 46233381
chr16 45115251
chr16 8037904
chr16 51662253
chr16 11614356
chr16 22234612
chr16 70304638
chr16 13635063
chr16 13266665
chr16 5672782
chr16 13612906
chr16 75669170
chr16 76337229
chr16 62407967
chr16 35042201
chr16 53705259
chr16 8133106
chr16 42795519
chr16 17382461
chr16 51848613
chr16 6756618
chr16 37793338
chr16 3941518
chr16 33803942
chr16 57863441
chr16 25311327
chr16 45837408
chr16 32715598
chr16 29322240
chr16 65472788
chr16 62164811
chr16 67060470
chr16 56292680
chr16 89489278
chr16 64551367
chr16 87749131
chr16 2516316
chr16 79880355
chr16 53644408
chr16 31899057
chr16 42572030
chr16 37935046
chr16 61636309
chr16 80094868
chr16 87476161
chr16 11896525
chr16 74247208
chr16 35719513
chr16 17614065
chr16 33434336
chr16 56934939
chr17 40784060
chr17 37574015
chr17 31557652
chr17 1180375
chr17 14746097
chr17 38776711
chr17 48366948
chr17 22819597
chr17 36857189
chr17 11629845
chr17 17051093
chr17 24565420
chr17 43561307
chr17 73466137
chr17 21147257
chr17 53751390
chr17 62665637
chr17 68166998
chr17 71663488
chr17 63264793
chr17 62801642
chr17 16097664
chr17 22750369
chr17 63908999
chr17 60567260
chr17 58602809
chr17 28772032
chr17 29505224
chr17 58332149
chr17 20731958
chr17 25069108
chr17 63348898
chr18 9519141
chr18 57173390
chr18 76941851
chr18 24167730
chr18 72006999
chr18 46326861
chr18 76239655
chr18 17078730
chr18 55901153
chr18 45738054
chr18 18970508
chr18 5297886
chr18 61681019
chr18 62769041
chr18 11461207
chr18 26706086
chr18 59425328
chr18 29202230
chr18 58682984
chr18 3754570
chr18 62718492
chr18 32683672
chr18 37851395
chr18 73457417
chr18 51616956
chr18 13728203
chr18 5974063
chr18 56997740
chr18 4411620
chr18 57818092
chr18 42457424
chr18 64718492
chr18 67067903
chr18 52407963
chr18 44268803
chr18 21865048
chr18 25355666
chr18 13973073
chr18 36582079
chr18 65032909
chr18 62589926
chr18 49131970
chr18 54478529
chr18 58400141
chr18 38291614
chr18 33955299
chr18 23686322
chr18 63727110
chr18 29561797
chr18 55275606
chr18 43988375
chr18 59541502
chr18 3291654
chr18 25665381
chr18 75820419
chr18 43023107
chr18 3303113
chr18 68833599
chr18 69500543
chr18 28487056
chr19 56717517
chr19 23236276
chr19 1944797
chr19 14666250
chr19 7224510
chr19 34060794
chr19 51059462
chr19 57884489
chr19 41478818
chr19 19036603
chr19 48721307
chr19 25040701
chr19 34449601
chr19 4505598
chr19 26829755
chr19 53049217
chr19 56845143
chr19 371444
chr19 36486802
chr19 13352790
chr19 10244408
chr19 2778490
chr19 8687648
chr19 10111914
chr19 26148223
chr19 49705619
chr19 47238014
chr19 17420384
chr19 39070762
chr19 4346562
chr20 34152157
chr20 56618334
chr20 33954960
chr20 54525524
chr20 17458535
chr20 8907289
chr20 26223631
chr20 44667403
chr20 15743063
chr20 24782087
chr20 35953184
chr20 37061501
chr20 8683808
chr20 2614902
chr20 4659779
chr20 5251672
chr20 42202217
chr20 19691713
chr20 38403321
chr20 22703105
chr20 36194309
chr20 60424363
chr20 4513935
chr20 23469742
chr20 37288184
chr20 12617214
chr20 27382233
chr20 36192616
chr20 24166082
chr20 45863444
chr20 25594784
chr20 45115623
chr20 20996523
chr20 17570940
chr20 49519219
chr20 6653166
chr20 27541256
chr20 56830607
chr20 41906402
chr20 39449382
chr20 24465830
chr20 14107240
chr20 37062732
chr20 25883581
chr20 27463970
chr20 56446880
chr20 54120316
chr20 5003951
chr21 32522095
chr21 39321092
chr21 17302786
chr21 9030875
chr21 6828657
chr21 1195014
chr21 24467745
chr21 2047197
chr21 5217459
chr21 16023875
chr21 27308346
chr21 7259862
chr21 44416861
chr21 1224977
chr21 44792346
chr21 21394632
chr21 22405047
chr21 7320843
chr21 17558175
chr21 6876789
chr21 33159131
chr21 40791995
chr21 23864214
chr21 20832483
chr21 21755641
chr21 13261347
chr22 32474441
chr22 36823574
chr22 11885079
chr22 10687908
chr22 11643021
chr22 10936845
chr22 32477611
chr22 7708076
chr22 22221522
chr22 10332975
chr22 36665914
chr22 11933815
chr22 21598550
chr22 15723783
chr22 565225
chr22 19901298
chr22 21588975
chr22 40376198
chr23 24347321
chr23 78324145
chr23 75268667
chr23 98410067
chr23 113361960
chr23 74583254
chr23 74105650
chr23 105623152
chr23 131539305
chr23 131987669
chr23 110552409
chr23 5667754
chr23 91347968
chr23 72546676
chr23 83145403
chr23 114600348
chr23 6208312
chr23 69837682
chr23 117782079
chr23 103317092
chr23 132932656
chr23 71683912
chr23 107630218
chr23 23312270
chr23 32312824
chr23 135314263
chr23 132986635
chr23 42105043
chr23 42664063
chr23 11175498
chr23 152358869
chr23 116895896
chr23 153961461
chr23 40200864
chr23 154102651
chr23 86756368
chr23 99564997
chr23 54720418
chr23 124898378
chr23 14058832
chr23 122490474
chr23 69351968
chr23 71739739
chr23 5458908
chr23 66774921
chr23 72196922
chr23 108955752
chr23 120242718
chr23 120003023
chr23 38458535
chr23 16712033
chr23 15500077
chr23 134868243
chr23 8152241
chr23 52503277
chr23 125919356
chr23 56323278
chr23 98521499
chr23 68686838
chr23 136593086
chr23 23965290
chr23 21099796
chr23 90567431
chr23 52896614
chr23 152568146
chr23 74609700
chr23 103663963
chr23 14113166
chr23 96164692
chr23 89839690
chr23 141243017
chr23 59211027
chr23 87778737
chr23 101076677
chr23 85343469
chr23 88682186
chr23 57057441
chr23 104607765
chr23 72364315
chr23 48928921
